timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1781271312369,25,POST /api/auth/login,429,Too Many Requests,Load Generator 1-1,text,false,"Test failed: code expected to equal /

****** received  : [[[429]]]

****** comparison: [[[200]]]

/",1149,251,4,4,http://localhost:3000/api/auth/login,25,0,19
1781271313484,2,POST /api/auth/login,429,Too Many Requests,Load Generator 1-3,text,false,"Test failed: code expected to equal /

****** received  : [[[429]]]

****** comparison: [[[200]]]

/",1149,251,7,7,http://localhost:3000/api/auth/login,2,0,1
1781271313529,2,POST /api/auth/login,429,Too Many Requests,Load Generator 1-2,text,false,"Test failed: code expected to equal /

****** received  : [[[429]]]

****** comparison: [[[200]]]

/",1149,251,7,7,http://localhost:3000/api/auth/login,2,0,1
1781271313907,2,POST /api/auth/login,429,Too Many Requests,Load Generator 1-6,text,false,"Test failed: code expected to equal /

****** received  : [[[429]]]

****** comparison: [[[200]]]

/",1149,251,9,9,http://localhost:3000/api/auth/login,2,0,1
1781271314104,1,GET /api/dashboard/stats,401,Unauthorized,Load Generator 1-1,text,false,,1100,167,9,9,http://localhost:3000/api/dashboard/stats,1,0,0
1781271314177,2,POST /api/auth/login,429,Too Many Requests,Load Generator 1-4,text,false,"Test failed: code expected to equal /

****** received  : [[[429]]]

****** comparison: [[[200]]]

/",1149,251,10,10,http://localhost:3000/api/auth/login,2,0,1
1781271314294,2,POST /api/auth/login,429,Too Many Requests,Load Generator 1-5,text,false,"Test failed: code expected to equal /

****** received  : [[[429]]]

****** comparison: [[[200]]]

/",1149,251,10,10,http://localhost:3000/api/auth/login,2,0,1
1781271314418,2,POST /api/auth/login,429,Too Many Requests,Load Generator 1-9,text,false,"Test failed: code expected to equal /

****** received  : [[[429]]]

****** comparison: [[[200]]]

/",1149,251,10,10,http://localhost:3000/api/auth/login,2,0,1
1781271314460,2,POST /api/auth/login,429,Too Many Requests,Load Generator 1-8,text,false,"Test failed: code expected to equal /

****** received  : [[[429]]]

****** comparison: [[[200]]]

/",1149,251,10,10,http://localhost:3000/api/auth/login,2,0,1
1781271314707,4,POST /api/auth/login,429,Too Many Requests,Load Generator 1-10,text,false,"Test failed: code expected to equal /

****** received  : [[[429]]]

****** comparison: [[[200]]]

/",1149,251,11,11,http://localhost:3000/api/auth/login,4,0,1
1781271314720,1,GET /api/dashboard/stats,401,Unauthorized,Load Generator 1-3,text,false,,1100,167,11,11,http://localhost:3000/api/dashboard/stats,1,0,0
1781271314814,3,POST /api/auth/login,429,Too Many Requests,Load Generator 1-7,text,false,"Test failed: code expected to equal /

****** received  : [[[429]]]

****** comparison: [[[200]]]

/",1149,251,12,12,http://localhost:3000/api/auth/login,3,0,2
1781271315225,2,GET /api/dashboard/stats,401,Unauthorized,Load Generator 1-2,text,false,,1100,167,13,13,http://localhost:3000/api/dashboard/stats,2,0,0
1781271315464,1,GET /api/dashboard/stats,401,Unauthorized,Load Generator 1-5,text,false,,1100,167,14,14,http://localhost:3000/api/dashboard/stats,1,0,0
1781271315524,3,POST /api/auth/login,429,Too Many Requests,Load Generator 1-11,text,false,"Test failed: code expected to equal /

****** received  : [[[429]]]

****** comparison: [[[200]]]

/",1149,251,14,14,http://localhost:3000/api/auth/login,3,0,1
1781271315688,2,GET /api/dashboard/stats,401,Unauthorized,Load Generator 1-6,text,false,,1100,167,15,15,http://localhost:3000/api/dashboard/stats,2,0,0
1781271315691,2,GET /api/inventory,401,Unauthorized,Load Generator 1-3,text,false,,1100,161,15,15,http://localhost:3000/api/inventory,2,0,0
1781271315932,2,GET /api/dashboard/stats,401,Unauthorized,Load Generator 1-9,text,false,,1100,167,15,15,http://localhost:3000/api/dashboard/stats,2,0,0
1781271316027,1,GET /api/inventory,401,Unauthorized,Load Generator 1-1,text,false,,1100,161,16,16,http://localhost:3000/api/inventory,1,0,0
1781271316028,1,GET /api/dashboard/stats,401,Unauthorized,Load Generator 1-4,text,false,,1100,167,16,16,http://localhost:3000/api/dashboard/stats,1,0,0
1781271316037,1,GET /api/dashboard/stats,401,Unauthorized,Load Generator 1-11,text,false,,1100,167,16,16,http://localhost:3000/api/dashboard/stats,1,0,0
1781271316181,1,GET /api/dashboard/stats,401,Unauthorized,Load Generator 1-10,text,false,,1100,167,16,16,http://localhost:3000/api/dashboard/stats,1,0,0
1781271316298,1,GET /api/dashboard/stats,401,Unauthorized,Load Generator 1-8,text,false,,1100,167,17,17,http://localhost:3000/api/dashboard/stats,1,0,0
1781271316408,2,POST /api/auth/login,429,Too Many Requests,Load Generator 1-12,text,false,"Test failed: code expected to equal /

****** received  : [[[429]]]

****** comparison: [[[200]]]

/",1149,251,17,17,http://localhost:3000/api/auth/login,2,0,1
1781271316423,3,POST /api/auth/login,429,Too Many Requests,Load Generator 1-14,text,false,"Test failed: code expected to equal /

****** received  : [[[429]]]

****** comparison: [[[200]]]

/",1149,251,17,17,http://localhost:3000/api/auth/login,3,0,1
1781271316426,1,GET /api/customers,401,Unauthorized,Load Generator 1-3,text,false,,1100,161,17,17,http://localhost:3000/api/customers,1,0,0
1781271316554,1,GET /api/dashboard/stats,401,Unauthorized,Load Generator 1-7,text,false,,1100,167,17,17,http://localhost:3000/api/dashboard/stats,1,0,0
1781271316770,1,GET /api/inventory,401,Unauthorized,Load Generator 1-11,text,false,,1100,161,18,18,http://localhost:3000/api/inventory,1,0,0
1781271316816,1,GET /api/inventory,401,Unauthorized,Load Generator 1-9,text,false,,1100,161,18,18,http://localhost:3000/api/inventory,1,0,0
1781271316844,2,GET /api/inventory,401,Unauthorized,Load Generator 1-5,text,false,,1100,161,18,18,http://localhost:3000/api/inventory,2,0,0
